Gene,PubMedID
br ##ca ##2,9389568
br ##ca ##1,22935333
br ##ca ##1,9389568
br ##ca ##1,25479927
br ##ca ##1,23825798
br ##ca ##1,24697775
br ##ca ##1,25974357
cd ##k ##n ##2 ##a,16896043
cd ##k ##n ##2 ##a,15819981
cd ##k ##n ##2 ##a,24935963
cd ##k ##n ##2 ##a,26498684
cd ##k ##n ##2 ##a,24346768
cd ##k ##n ##2 ##a,22080950
cd ##k ##n ##2 ##a,15705881
cd ##k ##n ##2 ##a,11668523
cd ##k ##n ##2 ##a,10389768
cd ##k ##n ##2 ##a,19725989
cd ##k ##n ##2 ##a,18398432
cd ##k ##n ##2 ##a,9389568
cd ##k ##n ##2 ##a,23384855
cd ##k ##n ##2 ##a,15856016
cd ##k ##n ##2 ##a,23825798
cd ##k ##n ##2 ##a,19149898
cd ##k ##n ##2 ##a,20484992
cd ##k ##n ##2 ##a,24697775
cd ##k ##n ##2 ##a,17351674
cd ##k ##n ##2 ##a,15221796
cd ##k ##n ##2 ##a,18672145
cd ##k ##n ##2 ##a,15120668
cd ##k ##n ##2 ##a,19238106
cd ##k ##n ##2 ##a,19158841
cd ##k ##n ##2 ##a,17171691
cd ##k ##n ##2 ##a,18505964
cd ##k ##n ##2 ##a,16801015
cd ##k ##n ##2 ##a,24928612
t ##p ##53,15819981
t ##p ##53,9389568
t ##p ##53,24736457
atm,11774264
atm,24840574
atm,19126397
atm,23190898
atm,8344747
atm,19016067
atm,20944096
atm,18949370
atm,22550165
atm,24967732
atm,25588203
atm,26498684
atm,21722328
atm,15756009
atm,14961576
atm,19671763
atm,23673539
atm,25065585
atm,23536873
atm,20848731
atm,25885043
atm,15466193
atm,23950209
atm,22130252
atm,22972589
atm,23477830
atm,15305193
atm,22322885
atm,23454771
atm,11112417
atm,26405583
atm,17891747
atm,24697775
atm,21268068
atm,25001534
atm,21466784
atm,20357817
atm,24223182
atm,22736149
atm,22328516
atm,12036934
atm,15958521
atm,23625514
atm,24928612
cd ##k ##4,22080950
cd ##k ##4,11668523
cd ##k ##4,10389768
cd ##k ##4,9389568
cd ##k ##4,18386818
cd ##k ##4,23384855
cd ##k ##4,24289491
cd ##k ##4,19238106
cd ##k ##4,19158841
ms ##h ##2,11931386
cd ##h ##1,20848731
bra ##f,24840574
bra ##f,25061102
bra ##f,20944096
bra ##f,24967732
bra ##f,19207948
bra ##f,26396549
bra ##f,23416158
bra ##f,14961576
bra ##f,16410717
bra ##f,21680547
bra ##f,19805117
bra ##f,27181209
bra ##f,23950209
bra ##f,22972589
bra ##f,25479927
bra ##f,23825798
bra ##f,23477830
bra ##f,19880519
bra ##f,23454771
bra ##f,21356389
bra ##f,24885594
bra ##f,25174651
bra ##f,24697775
bra ##f,16818621
bra ##f,19404918
bra ##f,25289082
bra ##f,20357817
bra ##f,15277467
bra ##f,25818589
bra ##f,22817889
bra ##f,21801332
bra ##f,19158841
bra ##f,23987572
pt ##en,24840574
pt ##en,25501033
pt ##en,22076652
pt ##en,20848731
pt ##en,15466193
pt ##en,25444926
pt ##en,22846175
pt ##en,14576666
pt ##en,19047166
st ##k ##11,24086281
e ##gf ##r,20177751
e ##gf ##r,17594688
e ##gf ##r,23638386
e ##gf ##r,26405583
ba ##p ##1,25687217
ba ##p ##1,26769193
ba ##p ##1,22935333
ba ##p ##1,23977234
ba ##p ##1,25479927
ba ##p ##1,23825798
ba ##p ##1,24697775
ba ##p ##1,27123562
ba ##p ##1,25974357
k ##ras,14961576
hr ##as,14961576
hr ##as,18386818
kit,19126397
kit,20337985
kit,21325067
kit,19671763
kit,21680547
kit,26424760
kit,19718013
kit,21119596
kit,19035443
kit,18417445
kit,23377970
kit,21356389
kit,23221472
kit,18066592
kit,27153441
kit,19118061
kit,22736149
kit,19158841
kit,23528861
ter ##t,24423917
ter ##t,25444926
ter ##t,23348506
n ##f ##1,24346768
n ##f ##1,16961930
n ##f ##1,11706558
n ##f ##1,11129335
n ##f ##1,12963615
ak ##t ##1,24346768
ak ##t ##1,15466193
nr ##as,14961576
nr ##as,21680547
nr ##as,23950209
nr ##as,22972589
nr ##as,23825798
nr ##as,23377970
nr ##as,25174651
nr ##as,27153441
nr ##as,16818621
nr ##as,20357817
nr ##as,22817889
nr ##as,19158841
nr ##as,23987572
mc ##1 ##r,19338054
mc ##1 ##r,19725989
mc ##1 ##r,23647022
mc ##1 ##r,21559390
mc ##1 ##r,12473109
mc ##1 ##r,15221796
mc ##1 ##r,22095472
mc ##1 ##r,19269164
mc ##1 ##r,16982779
mc ##1 ##r,19158841
mc ##1 ##r,16801015
mit ##f,12742347
mit ##f,25444235
mit ##f,20337985
mit ##f,21435193
mit ##f,22080950
mit ##f,21072171
mit ##f,19805117
mit ##f,17182868
mit ##f,27181209
mit ##f,22496449
mit ##f,23477830
mit ##f,23787126
mit ##f,23377970
mit ##f,24981740
mit ##f,20067553
mit ##f,22647378
mit ##f,16964280
mit ##f,17975146
mit ##f,26599548
mit ##f,25818589
mit ##f,21801332
met,18771349
met,11774264
met,24840574
met,25113440
met,22815634
met,19521982
met,25061102
met,15986140
met,25051432
met,20177751
met,17085653
met,23190898
met,19016067
met,20944096
met,18949370
met,22550165
met,25823659
met,25124714
met,12384558
met,24346768
met,19040420
met,19338054
met,20337985
met,10867810
met,15756009
met,14961576
met,17197349
met,24993904
met,20709760
met,16410717
met,24359286
met,17594688
met,21072171
met,19671763
met,14719109
met,23673539
met,9824622
met,25220161
met,26424760
met,22223089
met,10389768
met,24120113
met,11813878
met,11931386
met,25501033
met,23197006
met,25223485
met,17182868
met,24174333
met,24189220
met,19330028
met,23536873
met,7665237
met,22076652
met,20848731
met,25310020
met,9389568
met,21047771
met,24014427
met,22447182
met,27181209
met,19718013
met,15466193
met,24580015
met,25444926
met,26707830
met,23950209
met,11245423
met,23277422
met,24691438
met,23638386
met,19627587
met,22130252
met,21558391
met,22496449
met,8102131
met,25550585
met,24405508
met,25479927
met,11744991
met,11606406
met,19035443
met,15920168
met,25435429
met,23477830
met,19880519
met,15305193
met,14576666
met,23454771
met,25961751
met,23377970
met,11112417
met,24981740
met,9195562
met,21356389
met,25048347
met,26405583
met,19318807
met,20484992
met,11309305
met,9617345
met,23221472
met,17891747
met,20375924
met,20067553
met,24722418
met,23863473
met,12650606
met,24697775
met,16964280
met,18385040
met,17351674
met,15867352
met,21268068
met,17975146
met,22131135
met,16818621
met,23659246
met,21642878
met,18442402
met,15760917
met,21963849
met,25001534
met,21788308
met,19799645
met,21466784
met,20357817
met,20060810
met,14576937
met,11822878
met,16681721
met,19047166
met,22583695
met,18981472
met,26016895
met,22736149
met,22865454
met,12543799
met,21801332
met,21461173
met,8864922
met,22328516
met,24086281
met,15958521
met,8631588
met,19158841
met,23528861
met,18505964
met,24968695
met,21083380
met,24928612
met,16963426
met,25868368
met,25982144
re ##t,18771349
re ##t,18949370
re ##t,19338054
re ##t,22496449
re ##t,22322885
re ##t,16964280
re ##t,12036934
re ##t,15760339
re ##t,24928612
my ##c,21460252
my ##c,25444926
my ##c,18386818
my ##c,23950209
my ##c,24981740
my ##c,21356389
my ##c,16964280
my ##c,21963849
my ##c,11238948
mir ##21,23377970
cc ##nd ##1,21300445
xi ##st,21356389
hot ##air,25065585
mt ##or,24840574
mt ##or,21460252
mt ##or,26498684
g ##na ##q,24595385
g ##na ##q,26769193
g ##na ##q,22550165
g ##na ##q,21072599
g ##na ##q,23825798
g ##na ##q,24697775
g ##na ##q,27123562
g ##na ##q,21083380
cd ##k ##n ##1 ##b,18417445
f ##gf ##r ##2,23638386
sf ##3 ##b ##1,26769193
sf ##3 ##b ##1,27123562
sf ##3 ##b ##1,24709888
sf ##3 ##b ##1,26842708
ar,18771349
ar,11774264
ar,18312439
ar,24595385
ar,24840574
ar,25113440
ar,22815634
ar,26769193
ar,19521982
ar,25061102
ar,15986140
ar,21460252
ar,25051432
ar,19126397
ar,20177751
ar,12742347
ar,17085653
ar,23190898
ar,8344747
ar,25207815
ar,21410771
ar,19016067
ar,17472570
ar,20944096
ar,25444235
ar,18949370
ar,16896043
ar,10072444
ar,19996561
ar,22550165
ar,24967732
ar,18451171
ar,22487681
ar,25823659
ar,24935963
ar,25588203
ar,19207948
ar,25124714
ar,12384558
ar,26498684
ar,24346768
ar,19040420
ar,19338054
ar,20337985
ar,24260410
ar,10867810
ar,21072599
ar,26396549
ar,23416158
ar,21722328
ar,15756009
ar,14714570
ar,14961576
ar,17197349
ar,24993904
ar,20709760
ar,21435193
ar,16410717
ar,22080950
ar,24359286
ar,17594688
ar,21072171
ar,21325067
ar,19671763
ar,9806478
ar,16432463
ar,15623617
ar,14719109
ar,21680547
ar,24423917
ar,23673539
ar,19830692
ar,9824622
ar,15705881
ar,27337967
ar,25220161
ar,26424760
ar,21108607
ar,22223089
ar,11668523
ar,10389768
ar,24120113
ar,11813878
ar,19725989
ar,11931386
ar,25501033
ar,23197006
ar,19805117
ar,23020925
ar,25223485
ar,18398432
ar,17182868
ar,25065585
ar,24174333
ar,19477635
ar,24189220
ar,19330028
ar,23536873
ar,7665237
ar,22076652
ar,20848731
ar,25310020
ar,25885043
ar,9389568
ar,16243793
ar,21047771
ar,24014427
ar,22447182
ar,25155861
ar,27181209
ar,23028833
ar,19718013
ar,15466193
ar,23977234
ar,25444926
ar,18386818
ar,26707830
ar,16961930
ar,23950209
ar,11245423
ar,22454080
ar,23277422
ar,24691438
ar,24158781
ar,23638386
ar,21454583
ar,22909381
ar,25848976
ar,19627587
ar,21119596
ar,22130252
ar,21558391
ar,22496449
ar,22971344
ar,22846175
ar,21507037
ar,8102131
ar,25550585
ar,22972589
ar,24405508
ar,22555176
ar,23384855
ar,25479927
ar,11744991
ar,11606406
ar,19035443
ar,15856016
ar,15920168
ar,25435429
ar,23647022
ar,23825798
ar,21559390
ar,23477830
ar,19880519
ar,18444963
ar,12473109
ar,23787126
ar,15305193
ar,17314512
ar,17992115
ar,22322885
ar,11706558
ar,14576666
ar,18417445
ar,22927992
ar,23454771
ar,25961751
ar,23377970
ar,11112417
ar,24981740
ar,9195562
ar,20421967
ar,19149898
ar,21356389
ar,21623876
ar,25048347
ar,26405583
ar,19318807
ar,20484992
ar,11309305
ar,22805320
ar,17450523
ar,9617345
ar,23638671
ar,23221472
ar,18066592
ar,17891747
ar,20375924
ar,20067553
ar,24885594
ar,24722418
ar,25174651
ar,22647378
ar,23863473
ar,12650606
ar,24697775
ar,16964280
ar,18385040
ar,17351674
ar,27153441
ar,15867352
ar,18515281
ar,21268068
ar,17975146
ar,22131135
ar,19638168
ar,16818621
ar,15221796
ar,23659246
ar,21642878
ar,19404918
ar,18442402
ar,15760917
ar,23348506
ar,21963849
ar,25001534
ar,21788308
ar,19799645
ar,24721645
ar,24289491
ar,25289082
ar,9445187
ar,11238948
ar,21466784
ar,20357817
ar,18672145
ar,20060810
ar,19118061
ar,22095472
ar,24709888
ar,10362803
ar,15277467
ar,26842708
ar,14576937
ar,11822878
ar,16681721
ar,26599548
ar,19269164
ar,22665054
ar,19047166
ar,11129335
ar,22583695
ar,18981472
ar,25818589
ar,16982779
ar,24223182
ar,26016895
ar,15120668
ar,22736149
ar,22865454
ar,22817889
ar,21278793
ar,12543799
ar,19238106
ar,21300445
ar,21801332
ar,21461173
ar,8864922
ar,25629959
ar,22328516
ar,24086281
ar,12036934
ar,19029026
ar,15760339
ar,15958521
ar,8631588
ar,20862285
ar,19158841
ar,23625514
ar,23528861
ar,17171691
ar,18505964
ar,24968695
ar,22551973
ar,24736457
ar,18086302
ar,25572314
ar,25974357
ar,16801015
ar,21083380
ar,21077158
ar,24928612
ar,16963426
ar,25868368
id ##h ##1,21356389
f ##gf ##r ##3,23638386
g ##na ##11,26769193
g ##na ##11,23825798
g ##na ##11,24697775
g ##na ##11,27123562
ty ##r,25113440
ty ##r,25444235
ty ##r,19671763
ty ##r,25501033
ty ##r,19805117
ty ##r,23028833
ty ##r,19035443
ty ##r,21559390
ty ##r,23377970
ty ##r,18066592
ty ##r,17891747
ty ##r,20067553
ty ##r,11238948
ty ##r,22736149
ty ##r,22328516
f ##h,24722418
sp ##ry ##4 - it ##1,25065585
sp ##ry ##4 - it ##1,21558391
sp ##ry ##4 - it ##1,24223182
il ##2,8344747
il ##2,25001534
cd ##k ##n ##2 ##b,15819981
cd ##k ##n ##2 ##b,11668523
ban ##cr,24967732
ban ##cr,25065585
ban ##cr,25289082
md ##m ##2,11606406
e ##zh ##2,25501033
stat ##3,15986140
stat ##3,10072444
stat ##3,21356389
stat ##3,21268068
stat ##3,21278793
ba ##x,10867810
ba ##x,22130252
bc ##l ##2,20177751
bc ##l ##2,23673539
bc ##l ##2,22647378
bc ##l ##2,21963849
bc ##l ##2,22865454
mgm ##t,23659246
er ##bb ##3,23638671
er ##bb ##3,17891747
v ##hl,11309305
mir ##21 ##4,23377970
cd ##k ##n ##1 ##a,15819981
cd ##k ##n ##1 ##a,20484992
ara ##f,19830692
ara ##f,9195562
ara ##f,24086281
ra ##c ##1,27181209
ra ##c ##1,22817889
r ##ho ##a,22328516
cas ##c ##15,26016895
jun,10389768
jun,20602913
jun,21356389
jun,12650606
jun,24697775
jun,15277467
jun,26842708
jun,11822878
jun,16963426
fa ##s,10362803
fa ##s,16681721
fa ##s,18086302
er ##cc ##4,23659246
at ##r,22971344
at ##r,18444963
at ##r,16818621
at ##r,21461173
stat ##1,24691438
mm ##p ##2,20060810
tn ##f,21268068
cd ##k ##2,21559390
cd ##k ##2,24289491
er ##cc ##6,23659246
xp ##c,23659246
sr ##c,20709760
sr ##c,22328516
il ##6,21268068
au ##rka,25444926
ter ##c,16432463
ter ##c,12650606
ter ##c,11822878
ter ##c,22665054
ter ##c,19047166
run ##x ##1,24736457
w ##t ##1,17992115
w ##t ##1,19638168
pt ##gs ##2,21268068
c ##x ##cr ##4,21963849
mla ##na,17891747
mla ##na,26599548
ak ##t ##2,15466193
e ##2 ##f ##1,21454583
pm ##el,16964280
cd ##k ##6,10389768
cd ##k ##6,18398432
er ##cc ##1,21722328
sk ##p ##2,23950209
sl ##c ##45 ##a ##2,21559390
e ##gf,15986140
e ##gf,20177751
e ##gf,17594688
e ##gf,23638386
e ##gf,26405583
e ##gf,17450523
e ##gf,20060810
e ##gf,21278793
mm ##p ##1,25048347
mm ##p ##1,21642878
mm ##p ##1,15760917
abc ##b ##1,15760339
ak ##t ##3,18451171
ak ##t ##3,15466193
ak ##t ##3,15760917
cd ##44,8344747
cd ##44,25220161
cd ##44,24120113
il ##24,25001534
id ##h ##2,21356389
h ##gf,25124714
h ##gf,17450523
pr ##ame,17891747
sox ##9,25629959
cm ##m,9389568
ja ##k ##2,21268068
arid ##2,22817889
c ##x ##cl ##1,23638386
rec ##k,11129335
max,8344747
max,24346768
max,22496449
max,16964280
st ##k ##19,22817889
nme ##1,25048347
mm ##p ##14,15760917
ras ##sf ##1,14961576
ras ##sf ##1,21356389
ras ##sf ##1,21788308
w ##nt ##5 ##a,20177751
w ##nt ##5 ##a,24260410
og ##g ##1,18312439
mt ##ap,24928612
sp ##1,24736457
twist ##1,25061102
spp ##1,17891747
al ##b,24967732
kiss ##1,12543799
cd ##6 ##3,7665237
fa ##p,25501033
fa ##p,20848731
fa ##p,23377970
pp ##p ##6 ##c,22817889
mia,18771349
mia,12742347
mia,25207815
mia,20337985
mia,21435193
mia,22080950
mia,11813878
mia,19805117
mia,17182868
mia,27181209
mia,23787126
mia,18417445
mia,23377970
mia,17891747
mia,22647378
mia,16964280
mia,17975146
mia,26599548
mia,25818589
mia,21801332
mia,24736457
mia,24928612
f ##n ##1,25048347
tim ##p ##3,26707830
ca ##v ##1,20709760
numb,25113440
numb,25061102
numb,25051432
numb,19996561
numb,24346768
numb,24260410
numb,21435193
numb,22080950
numb,24359286
numb,17594688
numb,9806478
numb,11813878
numb,19725989
numb,23197006
numb,7665237
numb,20848731
numb,24014427
numb,27181209
numb,23028833
numb,15466193
numb,21558391
numb,19035443
numb,17314512
numb,23377970
numb,21623876
numb,25048347
numb,26405583
numb,19318807
numb,17450523
numb,24722418
numb,18385040
numb,17975146
numb,15760917
numb,24289491
numb,22095472
numb,16982779
numb,26016895
numb,22817889
numb,8864922
numb,12036934
numb,17171691
cfl ##ar,25207815
eng,24346768
eng,19040420
eng,25155861
eng,21119596
eng,22971344
eng,22927992
eng,11112417
eng,22095472
eng,16681721
eng,18981472
eng,22736149
eng,22817889
eng,21278793
eng,25572314
cc ##l ##2,23454771
ra ##rb,20848731
gap ##dh,25550585
cd ##h ##2,20848731
br ##ms ##1,17085653
br ##ms ##1,12650606
br ##ms ##1,15867352
br ##ms ##1,11822878
br ##ms ##1,16681721
br ##ms ##1,16963426
re ##la,21460252
re ##la,25124714
re ##la,19040420
re ##la,17594688
re ##la,25220161
re ##la,21108607
re ##la,19805117
re ##la,24174333
re ##la,23950209
re ##la,24691438
re ##la,21119596
re ##la,22972589
re ##la,24405508
re ##la,22555176
re ##la,15920168
re ##la,19233913
re ##la,11112417
re ##la,22805320
re ##la,23221472
re ##la,17351674
re ##la,21278793
re ##la,21801332
re ##la,22328516
re ##la,23528861
trim ##24,25572314
hd ##ac ##1,22647378
pol ##h,19477635
cc ##nd ##2,25207815
cc ##nd ##2,21963849
pak ##1,22971344
spa ##rc,24993904
cd ##k ##n ##2 ##c,11668523
run ##x ##3,21623876
e ##if ##1 ##ax,26769193
e ##if ##1 ##ax,27123562
sox ##10,23197006
sox ##10,19805117
sox ##10,22971344
sox ##10,24981740
sox ##10,20067553
sox ##10,22736149
sox ##10,25629959
d ##md,17314512
bad,17594688
if ##i ##27,25207815
cd ##4,8344747
cd ##4,25220161
cd ##4,24120113
cd ##4,23454771
cd ##4,26405583
fox ##p ##3,23454771
b ##mp ##4,19557432
bid,19040420
il ##18,18386818
il ##18,15760917
le ##p,26769193
pd ##gf ##b,20060810
il ##k,21278793
y ##b ##x ##1,26498684
ins,11774264
ins,25113440
ins,19521982
ins,25051432
ins,19126397
ins,17085653
ins,23190898
ins,8344747
ins,19996561
ins,18451171
ins,22487681
ins,25124714
ins,12384558
ins,26498684
ins,19040420
ins,24260410
ins,23416158
ins,21722328
ins,14714570
ins,24993904
ins,20709760
ins,21072171
ins,19671763
ins,9806478
ins,23673539
ins,9824622
ins,21108607
ins,22223089
ins,10389768
ins,11813878
ins,11931386
ins,25501033
ins,23197006
ins,23020925
ins,25223485
ins,17182868
ins,25065585
ins,24189220
ins,23536873
ins,7665237
ins,22076652
ins,16243793
ins,21047771
ins,24014427
ins,21494614
ins,25155861
ins,23028833
ins,15466193
ins,25444926
ins,23950209
ins,11245423
ins,24691438
ins,23638386
ins,21558391
ins,22496449
ins,22971344
ins,24405508
ins,22555176
ins,11744991
ins,15920168
ins,19233913
ins,18444963
ins,12473109
ins,23787126
ins,20602913
ins,25961751
ins,23377970
ins,24981740
ins,19318807
ins,20484992
ins,22805320
ins,24722418
